,Entity,Code,Year,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_very_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_somewhat_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_dont_know_refused__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_not_at_all_comfortable__gender_all__age_group_all,very_comfortable and somewhat_comfortable
103,Sweden,SWE,2020,15.146934,61.15222,2.303258,21.397581,76.299154
104,Switzerland,CHE,2020,34.36771,41.721153,6.678316,17.23282,76.088863
105,Taiwan,TWN,2020,9.367289,21.24004,16.814083,52.578594,30.607329
106,Tanzania,TZA,2020,34.58113,43.94773,3.5071263,17.96401,78.52886
107,Thailand,THA,2020,31.828373,37.811977,9.18903,21.170624,69.64035
108,Tunisia,TUN,2020,46.760735,38.499977,5.671742,9.067545,85.260712
109,Turkey,TUR,2020,13.326519,40.486267,3.1891642,42.998055,53.812786
110,Uganda,UGA,2020,25.087318,36.870564,12.557513,25.484604,61.957882
111,Ukraine,UKR,2020,11.792821,45.21756,9.176279,33.81334,57.010381
112,United Arab Emirates,ARE,2020,39.16091,37.03574,6.6675715,17.135777,76.19665
113,United Kingdom,GBR,2020,8.396421,57.812916,6.161317,27.629341,66.209337
114,United States,USA,2020,7.2477846,57.725986,0.8432221,34.183014,64.9737706
115,Upper-middle-income countries,,2020,15.149798,36.99741,15.878616,31.974173,52.147208
116,Uruguay,URY,2020,21.92993,43.157642,1.6005524,33.311874,65.087572
117,Uzbekistan,UZB,2020,50.216694,28.296154,6.724083,14.763067,78.512848
118,Venezuela,VEN,2020,19.484858,34.766,0.93590117,44.813244,54.250858
119,Vietnam,VNM,2020,28.22067,20.318605,16.139744,35.320984,48.539275
120,World,OWID_WRL,2020,23.61903,36.829224,11.647459,27.904293,60.448254
121,Zambia,ZMB,2020,31.303564,26.29207,4.816784,37.58758,57.595634
122,Zimbabwe,ZWE,2020,45.67105,28.306711,11.415748,14.606491,73.977761
