,Unnamed: 0,Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID
45274,45274,Samoa,WSM,2021,,5534.566,213792.0,
45518,45518,San Marino,SMR,2021,,61609.01,34599.0,
45738,45738,Sao Tome and Principe,STP,2021,,3502.4353,221975.0,
46010,46010,Saudi Arabia,SAU,2021,,46768.434,31328374.0,
46271,46271,Senegal,SEN,2021,,3511.6375,17220866.0,
46527,46527,Serbia,SRB,2021,,19860.31,6835434.0,
46866,46866,Seychelles,SYC,2021,,27928.373,123000.0,
47090,47090,Sierra Leone,SLE,2021,,1614.8599,8094603.0,
47351,47351,Singapore,SGP,2021,,107741.12,5546292.0,
47584,47584,Sint Maarten (Dutch part),SXM,2021,,38360.527,41590.0,
47675,47675,Slovakia,SVK,2021,,32512.695,5442767.0,
47933,47933,Slovenia,SVN,2021,,40104.36,2113495.0,
48199,48199,Solomon Islands,SLB,2021,,2397.3228,762594.0,
48431,48431,Somalia,SOM,2021,,1458.2279,17271435.0,
48715,48715,South Africa,ZAF,2021,,13337.79,61502601.0,
49207,49207,South America,,2021,,,428331420.0,
49333,49333,South America (excl. Brazil),,2021,,,220974576.0,
49367,49367,South Asia (WB),,2021,,6361.804,,
49401,49401,South Korea,KOR,2021,,44299.91,51848401.0,
49854,49854,South Sudan,SSD,2021,,,10865786.0,
49888,49888,Spain,ESP,2021,,38319.29,47735670.0,
50149,50149,Sri Lanka,LKA,2021,,13250.63,22700377.0,
50410,50410,Sub-Saharan Africa (WB),,2021,,3726.195,,
50443,50443,Sudan,SDN,2021,,3701.069,48066927.0,
50704,50704,Suriname,SUR,2021,,14811.24,617905.0,
51034,51034,Svalbard and Jan Mayen,SJM,2021,,,2400.0,
51068,51068,Sweden,SWE,2021,,54160.367,10416136.0,
51329,51329,Switzerland,CHE,2021,,71044.87,8707018.0,
51817,51817,Syria,SYR,2021,,,21628840.0,
52078,52078,Taiwan,TWN,2021,,,23558330.0,
52112,52112,Tajikistan,TJK,2021,,3910.4626,9966912.0,
52373,52373,Tanzania,TZA,2021,,2584.3977,62830413.0,
52634,52634,Thailand,THA,2021,,17087.21,71727340.0,
52895,52895,Togo,TGO,2021,,2130.859,8878384.0,
53201,53201,Tokelau,TKL,2021,,,2225.0,
53235,53235,Tonga,TON,2021,,6142.9634,105504.0,
53487,53487,Trinidad and Tobago,TTO,2021,,23036.256,1487715.0,
53729,53729,Tunisia,TUN,2021,,10395.913,12048625.0,
53990,53990,Turkey,TUR,2021,,31722.16,86686255.0,
54251,54251,Turkmenistan,TKM,2021,,14696.823,7092041.0,
54491,54491,Turks and Caicos Islands,TCA,2021,,19763.545,45260.0,
54617,54617,Tuvalu,TUV,2021,,4604.402,10214.0,
55071,55071,Uganda,UGA,2021,,2246.414,45910932.0,
55332,55332,Ukraine,UKR,2021,,12949.326,44298641.0,
55593,55593,United Arab Emirates,ARE,2021,,70028.02,9789054.0,
55854,55854,United Kingdom,GBR,2021,,45567.57,67668789.0,
56115,56115,United States,USA,2021,,63635.824,340161441.0,
56453,56453,United States Virgin Islands,VIR,2021,,,87238.0,
56487,56487,Upper-middle-income countries,,2021,,17634.266,2826094366.0,
56752,56752,Uruguay,URY,2021,,23257.256,3396692.0,
57013,57013,Uzbekistan,UZB,2021,,7800.5015,34243696.0,
57274,57274,Vanuatu,VUT,2021,,2800.494,305883.0,
57715,57715,Vatican,VAT,2021,,,527.0,
57976,57976,Venezuela,VEN,2021,,,28237831.0,
58010,58010,Vietnam,VNM,2021,,10628.22,98935101.0,
58313,58313,Wallis and Futuna,WLF,2021,,,11590.0,
58437,58437,Western Sahara,ESH,2021,,,558625.0,
58471,58471,World,OWID_WRL,2021,,17091.352,7954448405.0,
58824,58824,Yemen,YEM,2021,,,37140233.0,
58984,58984,Zambia,ZMB,2021,,3287.4204,19603610.0,
59245,59245,Zimbabwe,ZWE,2021,,2115.1445,15797220.0,
